City,Latitude,Longitude,State,_1992,_1995,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012
Austin,30.25,-97.75,Texas,,,,,,,,,,,,,,,
Atlanta,33.755,-84.39,Georgia,,,,,,,,,,,,,,,
Raleigh,35.7806,-78.6389,North Carolina,,,,,,,,,,,,,,,
Cleveland,41.4822,-81.6697,Ohio,,,,,,,,,,,,,,,
St. Petersburg,27.7731,-82.64,Florida,,,,,,,,,,,,,,,
Detroit,42.3314,-83.0458,Michigan,,,,,,,,,,,,,,,
Bakersfield,35.3667,-119.0167,California,,,,,,,,,,,,,,,
Aurora,39.688,-104.6897,Colorado,,,,,,,,,,,,,,,
Baltimore,39.2833,-76.6167,Maryland,,,,,,,,,,,,,,,
Portland,45.52,-122.6819,Oregon,,,,,,,,,,,,,,,
Indianapolis,39.791,-86.148,Indiana,,,,,,,,,,,,,,,
San Bernardino,34.1,-117.3,California,,,,,,,,,,,,,,,
Jersey City,40.714,-74.071,New Jersey,,,,,,,,,,,,,,,
Tulsa,36.1314,-95.9372,Oklahoma,,,,,,,,,,,,,,,
Omaha,41.25,-96,Nebraska,,,,,,,,,,,,,,,
Madison,43.0667,-89.4,Wisconsin,,,,,,,,,,,,,,,
